2023-06-19 07:42:29 info Install Datenstrom Yellow 0.8.22, PHP 8.2.5, nginx 1.18.0, Linux
2023-06-19 07:42:29 info Install extension 'Update 0.8.94'
2023-06-19 07:42:29 info Install extension 'Core 0.8.115'
2023-06-19 07:42:29 info Install extension 'Edit 0.8.75'
2023-06-19 07:42:29 info Install extension 'Generate 0.8.51'
2023-06-19 07:42:29 info Install extension 'Image 0.8.19'
2023-06-19 07:42:29 info Install extension 'Markdown 0.8.24'
2023-06-19 07:42:29 info Install extension 'Meta 0.8.17'
2023-06-19 07:42:29 info Install extension 'Serve 0.8.24'
2023-06-19 07:42:29 info Install extension 'Stockholm 0.8.14'
2023-06-19 07:42:29 info Install extension 'English 0.8.43'
2023-06-19 07:42:29 info Install extension 'German 0.8.43'
2023-06-19 07:42:29 info Install extension 'Swedish 0.8.43'
2023-06-19 07:43:07 info Add user 'Pablo'
2023-06-19 07:48:08 error Install extension 'Blog 0.8.26'
2023-06-19 07:48:08 error Can't write file 'content/2-blog/2020-04-07-blog-example-page.md'!
2023-06-19 08:02:04 info Install extension 'Feed 0.8.19'
2023-06-19 08:03:37 info Install extension 'Draft 0.8.18'
2023-06-19 23:06:57 info Install extension 'Draft 0.8.18'
2023-06-21 18:14:16 error Can't parse file 'system/layouts/blog.html'!
2023-06-21 18:16:26 error Can't parse file 'system/layouts/blog-start.html'!
2023-06-21 18:17:49 error Can't parse file 'system/layouts/blog-start.html'!
2023-06-21 18:17:52 error Can't parse file 'system/layouts/blog-start.html'!
2023-06-21 18:23:29 error Can't parse file 'system/layouts/blog.html'!
2023-06-21 18:32:30 info Update extension 'Generate 0.8.52'
2023-06-21 18:48:10 error Can't parse file 'system/layouts/blog.html'!
2023-06-21 18:48:51 error Can't parse file 'system/layouts/blog.html'!
2023-06-21 19:00:43 error Can't parse file 'system/layouts/blog.html'!
2023-06-21 22:14:40 info Install extension 'Previousnext 0.8.18'
2023-06-28 13:29:22 info Install extension 'Gallery 0.8.18'
2023-07-01 17:53:37 error Can't parse file 'system/layouts/footer.html'!
2023-07-01 17:54:01 error Can't parse file 'system/layouts/footer.html'!
2023-07-05 11:46:30 error Can't parse file 'system/layouts/about-page.html'!
2023-07-05 11:53:40 error Can't parse file 'system/layouts/about-page.html'!
